exam_type_name,passage_english,passage_hindi,passage_german,passage_french,duration
PRACTISE,,,"Im tiefen, dunklen Wald lebte ein alter Mann, der von den Dorfbewohnern gemieden wurde. Jeder dachte, er sei ein Zauberer, der böse Magie beherrschte. Doch eines Tages verschwand der Mann plötzlich, und ein seltsames Licht erschien am Waldrand. Es war so hell, dass es die ganze Nacht erleuchtete. Die mutigen Dorfbewohner beschlossen, dem Licht zu folgen. Sie gingen tiefer in den Wald und entdeckten ein wunderschönes Tal, das niemand zuvor gesehen hatte. In der Mitte des Tals stand ein großer Baum, dessen Äste wie Arme in den Himmel ragten. Der Baum war von goldenen Blättern bedeckt, die im Wind raschelten und eine sanfte Melodie spielten. Die Dorfbewohner fühlten sich plötzlich sehr ruhig und glücklich. Sie erkannten, dass der alte Mann nie böse war, sondern den Wald beschützt hatte. Ab diesem Tag kamen die Dorfbewohner regelmäßig, um den Baum zu besuchen, und der Wald war nicht mehr geheimnisvoll, sondern ein Ort des Friedens.",,5
PRACTISE,,,"Es war ein sonniger Nachmittag, als Emily ihre alte Taschenuhr verlor. Sie hatte sie von ihrem Großvater geerbt, der sie immer mit viel Stolz getragen hatte. Emily hatte die Uhr immer als wertvolles Erbstück betrachtet, und jetzt war sie einfach verschwunden. Sie durchsuchte das ganze Haus, die Gärten und den Park, aber die Uhr war nicht zu finden. Verzweifelt ging sie zum Fluss, der nahe dem Haus floss, in der Hoffnung, dass sie die Uhr im Wasser finden könnte. Am Ufer entdeckte sie ein kleines, glänzendes Etwas, das aus dem Sand ragte. Es war ihre Uhr, aber sie sah anders aus. Das Glas war zerkratzt, und der Zeiger zeigte auf eine andere Zeit. Doch als sie die Uhr an sich nahm, hörte sie plötzlich eine Stimme aus der Ferne: „Zeit ist kostbar, aber sie kann nicht festgehalten werden.“ Emily wusste nicht, ob es ein Traum war, aber von diesem Moment an lebte sie bewusster und ließ die Uhr öfter zu Hause.",,10
PRACTISE,,,"In der alten Stadt gab es eine Bibliothek, die von vielen als verlassen galt. Niemand wusste, wer die Bücher sammelte oder wer sie las. Eines Tages, als Anna auf dem Weg nach Hause an der Bibliothek vorbeikam, hörte sie ein leises Flüstern aus dem Inneren. Neugierig trat sie ein. Die Regale waren voll von alten, staubigen Büchern, aber eines zog ihre Aufmerksamkeit besonders an. Es war ein Buch ohne Titel, das in der Ecke auf einem Tisch lag. Als sie es öffnete, fand sie keine Worte, sondern Bilder, die sich ständig veränderten. Jedes Bild zeigte eine andere Geschichte – von Abenteuern in fernen Ländern, von verlorenen Schätzen und von tapferen Helden. Anna konnte nicht aufhören zu blättern. Stunden vergingen, aber sie hatte das Gefühl, dass sie in den Seiten des Buches selbst lebte. Plötzlich verschwand das Buch, und Anna fand sich wieder vor der Bibliothek. Aber sie wusste, dass sie das Geheimnis der Bibliothek nie wieder vergessen würde – es war ein Ort, an dem die Geschichten lebendig wurden.",,15
PRACTISE,,,"Es war ein heißer Sommertag, als Felix und seine Schwester Clara beschlossen, den geheimen Pfad im Wald zu erkunden. Sie hatten von einem alten Abenteuerbuch gehört, das von einer vergessenen Stadt tief im Dschungel erzählte. Der Pfad, den sie suchten, war niemandem bekannt, und viele glaubten, er führe zu einer Stadt, die niemand mehr je betreten hatte.

Die Geschwister fanden den Anfang des Pfades an einem alten Baum, der wie ein Tor in eine andere Welt wirkte. Sie folgten den verschlungenen Wegen, vorbei an hohen Bäumen und plätschernden Bächen. Bald merkten sie, dass der Wald immer dichter wurde und die Luft geheimnisvoller wirkte. Sie gingen weiter und fanden schließlich eine Wand aus riesigen Felsen, die den Weg versperrten. Doch hinter den Felsen entdeckten sie eine Tür aus purem Gold. Sie öffneten sie vorsichtig und fanden sich in der Mitte einer majestätischen Stadt wieder. Überall waren Gebäude aus glänzendem Marmor und Straßen mit glänzendem Goldstaub bedeckt.

Die Stadt war still und verlassen. Doch als sie sich umschauten, bemerkten sie merkwürdige Inschriften an den Wänden. Es war eine Sprache, die sie nicht verstanden, aber sie spürten, dass dieser Ort eine Geschichte hatte, die in der Zeit verloren gegangen war. Sie verbrachten Stunden in der Stadt, durchstreiften die Hallen und entdeckten Artefakte, die von einer längst vergangenen Zivilisation zeugten. Am Ende des Tages verließen sie den Ort, doch die Erinnerung an die verlorene Stadt begleitete sie für immer.",,20
PRACTISE,,,"Eines Abends fand Emma einen ungewöhnlichen Brief auf ihrem Tisch. Der Umschlag war aus dunklem Leder, und die Schrift darauf war in einem alten Stil verfasst. Sie öffnete den Brief und las die Worte: „Du bist auserwählt. Die Reise beginnt morgen bei Sonnenaufgang.“ Es gab keine Absenderadresse und keine weiteren Hinweise. Emma war neugierig, aber auch etwas besorgt. Wer konnte ihr diesen Brief geschickt haben, und warum?

Am nächsten Morgen machte sich Emma auf den Weg, den Anweisungen des Briefes zu folgen. Sie ging zum Waldrand, wo ein alter Brunnen stand. Dort fand sie eine weitere Nachricht, die sie zu einem geheimen Ort in den Bergen führte. Die Reise war lang und anstrengend, aber Emma war entschlossen, das Geheimnis zu lösen. Als sie schließlich den geheimen Ort erreichte, stand sie vor einer alten, verwitterten Tür, die in einen Berg führte.

Mit einem tiefen Atemzug öffnete sie die Tür und trat ein. Drinnen fand sie eine Höhle, die von einem mystischen Licht erleuchtet war. In der Mitte der Höhle lag ein alter Schlüssel. Auf einem Steinblock daneben stand die Inschrift: „Der Schlüssel öffnet das Tor der Vergangenheit.“ Emma nahm den Schlüssel und wusste sofort, dass ihre Reise gerade erst begonnen hatte. Was auch immer sie entdecken würde, es war der Beginn eines neuen Abenteuers, das sie nie wieder vergessen würde.",,25
PRACTISE,,,"Anna war eine leidenschaftliche Kunstliebhaberin, und jedes Wochenende besuchte sie die örtliche Galerie. Eines Tages entdeckte sie in einer abgelegenen Ecke ein Gemälde, das sie sofort faszinierte. Es zeigte eine kleine Stadt am Rande eines Waldes, aber was sie besonders ansprach, war der geheimnisvolle Blick des Mannes, der in der Szene stand. Er schien sie direkt anzusehen, als ob er ein Geheimnis kannte, das sie erfahren sollte.

Sie fragte den Kurator der Galerie nach dem Gemälde, doch er konnte ihr nichts darüber erzählen. Das Gemälde war ein Mysterium. Niemand wusste, wer der Künstler war oder wann es gemalt worden war. Anna konnte nicht aufhören, an das Bild zu denken, und entschloss sich, nachzuforschen.

In den folgenden Wochen besuchte sie die Galerie immer wieder und beobachtete das Gemälde aus verschiedenen Blickwinkeln. Eines Tages bemerkte sie etwas, das sie zuvor übersehen hatte: Auf der Rückseite des Rahmens war eine kleine Nachricht eingraviert: „Der Schlüssel zu diesem Geheimnis liegt in der Nacht.“

Am nächsten Abend kehrte Anna in die Galerie zurück und wartete, bis alle Besucher gegangen waren. Sie warf einen Blick auf das Gemälde im schwachen Licht der Galerie und bemerkte plötzlich, dass das Bild sich zu verändern schien. Der Mann auf dem Bild bewegte sich, als würde er sie rufen. In diesem Moment wusste sie, dass das Gemälde mehr war als nur ein Kunstwerk – es war ein Tor zu einer anderen Welt.",,30
PRACTISE,,,"Eines Tages fand Max in einem alten, verlassenen Schloss einen glitzernden Kristall. Er war so schön, dass er ihn sofort in die Hand nahm. Kaum hatte er den Kristall berührt, spürte er eine Welle der Energie durch seinen Körper strömen. Der Kristall begann zu leuchten, und plötzlich befand Max sich in einer völlig anderen Welt. Um ihn herum waren bunte Wälder, lebendige Tiere und seltsame Pflanzen. Eine freundliche Gestalt trat auf ihn zu und sagte: „Du hast den Zauberkristall gefunden. Er kann Wünsche erfüllen, aber nur, wenn dein Herz rein ist.“ Max überlegte kurz und wünschte sich, dass alle Menschen in seiner Welt glücklich wären. Der Kristall leuchtete noch heller, und plötzlich fand er sich wieder im Schloss. Doch als er zurückkehrte, bemerkte er, dass etwas anders war – die Menschen um ihn herum lächelten mehr, und die Welt schien friedlicher. Max wusste, dass der Kristall ihm nicht nur einen Wunsch erfüllt hatte, sondern auch eine wichtige Lektion über das Geben und Teilen.",,5
PRACTISE,,,"Lena war schon immer fasziniert von Geschichten über fliegende Teppiche. Eines Abends, als sie in einem alten Antiquitätenladen stöberte, entdeckte sie einen besonderen Teppich. Er sah aus wie jeder andere, aber als sie ihn berührte, begann er plötzlich zu fliegen. Überrascht, aber auch begeistert, stieg sie auf den Teppich und ließ sich von ihm in die Lüfte tragen. Der Teppich führte sie über die Stadt, weit über die höchsten Gebäude, bis sie den Sternenhimmel erreichte. Dort oben schwebte der Teppich, und Lena fühlte sich frei wie nie zuvor. Sie sah die Welt aus einer neuen Perspektive – alles schien klein und friedlich. Der Teppich brachte sie an Orte, von denen sie nie zu träumen gewagt hatte: verborgene Inseln im Ozean, majestätische Berge und geheimnisvolle, leuchtende Städte. Doch am Ende des Abenteuers landete der Teppich sanft wieder auf dem Boden. Lena wusste, dass sie ihn immer wieder benutzen konnte, wann immer sie die Freiheit spüren wollte.",,10
PRACTISE,,,"Lena hatte schon immer einen Hund namens Max, aber sie wusste nicht, dass er eines Tages sprechen würde. Eines Morgens, als sie in den Garten ging, hörte sie plötzlich eine Stimme: „Guten Morgen, Lena!“ Verwirrt drehte sie sich um und sah Max, der sie mit seinen großen, braunen Augen anschaute. „Hast du mich gerade gehört?“ fragte sie ungläubig. „Ja, und ich kann viel mehr sagen, als du denkst“, antwortete Max. Zuerst war Lena völlig sprachlos, doch dann begann sie, sich mit Max zu unterhalten. Er erzählte ihr von seinen geheimen Abenteuern im Park, von den Katzen, die er verfolgte, und den Squirrel-Räubern, die er immer in Schach hielt. Max hatte immer schon viele Gedanken im Kopf, aber nie konnte er sie aussprechen – bis heute. Von diesem Tag an verbrachte Lena jede freie Minute damit, mit ihrem sprechenden Hund zu plaudern. Max half ihr, Probleme zu lösen, und brachte sie zum Lachen. Niemand wusste, wie es passiert war, aber Lena war froh, dass sie den besonderen Max in ihrem Leben hatte.",,15
PRACTISE,,,"Max war ein neugieriger Junge, der in einer ruhigen Stadt lebte. Eines Tages entdeckte er auf dem Dachboden seines Großvaters ein altes, staubiges Buch. Es war ein Tagebuch, das von geheimen Experimenten und Entdeckungen berichtete. Max konnte nicht glauben, was er las. Das Tagebuch beschrieb ein geheimes Labor, das unter dem alten Haus verborgen war. Es wurde von seinem Großvater und einem geheimen Wissenschaftler gebaut, der erstaunliche Entdeckungen machte, die die Welt verändern könnten.

Max wusste, dass er dieses Labor finden musste. Er durchforstete das ganze Haus und schließlich entdeckte er eine verborgene Treppe im Keller. Die Treppe führte zu einem geheimen Raum, in dem er unglaubliche Geräte und Maschinen fand, die die Gesetze der Physik herausforderten. In der Mitte des Raumes stand ein seltsames Gerät, das wie eine Zeitmaschine aussah. Max wusste, dass sein Großvater an etwas Großem gearbeitet hatte, aber er hatte keine Ahnung, wie weit die Experimente gegangen waren.

Eines Abends entschloss sich Max, das Gerät zu aktivieren. Als er den Schalter umlegte, begann die Maschine zu summen, und plötzlich fand er sich in der Vergangenheit wieder. Er hatte das Geheimlabor seines Großvaters verändert, aber was er nicht wusste, war, dass seine Handlungen in der Vergangenheit auch seine Zukunft beeinflussten.",,20
